<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.10.04,3:00:00,1823.34,1825.08,1821.94,1823.375,4177,0,100
2023.10.04,4:00:00,1823.37,1824.37,1820.89,1822.78,7080,0,100
2023.10.04,5:00:00,1822.75,1823.065,1820.06,1820.89,3012,0,100
2023.10.04,6:00:00,1820.895,1822.225,1819.655,1820.8,3131,0,100
2023.10.04,7:00:00,1820.815,1823.85,1820.81,1823.63,2451,0,100
2023.10.04,8:00:00,1823.615,1823.745,1820.985,1821.29,3596,0,100
2023.10.04,9:00:00,1821.305,1821.465,1816.785,1819.145,6562,0,100
2023.10.04,10:00:00,1819.135,1823.22,1817.455,1823.17,14125,0,100
2023.10.04,11:00:00,1823.16,1823.65,1820.32,1823.025,11234,0,100
2023.10.04,12:00:00,1823.07,1824.585,1821.475,1822.19,9289,0,100
2023.10.04,13:00:00,1822.185,1823.255,1821.14,1823.175,7438,0,100
2023.10.04,14:00:00,1823.18,1827.248,1822.92,1825.01,14008,0,100
2023.10.04,15:00:00,1825.02,1830.675,1823.745,1827.36,30378,0,100
2023.10.04,16:00:00,1827.41,1827.495,1817.81,1820.335,25157,0,100
2023.10.04,17:00:00,1820.26,1821.98,1817.16,1818.49,38483,0,100
2023.10.04,18:00:00,1818.48,1826.415,1817.4,1823.885,22704,0,100
2023.10.04,19:00:00,1823.89,1824.1,1820.995,1821.075,14961,0,100
2023.10.04,20:00:00,1821.03,1821.385,1818.32,1818.415,9582,0,100
2023.10.04,21:00:00,1818.41,1818.845,1816.625,1817.655,6184,0,100
2023.10.04,22:00:00,1817.715,1823.73,1817.48,1823.345,7010,0,100
2023.10.04,23:00:00,1823.39,1823.4,1820.545,1821.295,2647,0,100
2023.10.05,1:00:00,1821.825,1822.45,1821.65,1822.42,1202,0,100
2023.10.05,2:00:00,1822.43,1824.13,1822.38,1822.57,1708,0,100
2023.10.05,3:00:00,1822.61,1825.765,1821.8,1825.71,4214,0,100
2023.10.05,4:00:00,1825.705,1828.255,1825.7,1828.11,5290,0,100
2023.10.05,5:00:00,1828.065,1828.48,1826.06,1826.215,2811,0,100
2023.10.05,6:00:00,1826.21,1828.75,1825.925,1828.42,2721,0,100
2023.10.05,7:00:00,1828.41,1829.24,1827.46,1827.72,2356,0,100
2023.10.05,8:00:00,1827.68,1828.225,1826.325,1826.35,3135,0,100
2023.10.05,9:00:00,1826.34,1826.65,1822.19,1822.305,6589,0,100
2023.10.05,10:00:00,1822.295,1822.885,1819.96,1820.845,9024,0,100
2023.10.05,11:00:00,1820.855,1822.51,1819.77,1819.92,7331,0,100
2023.10.05,12:00:00,1819.925,1823.415,1819.72,1822.03,6951,0,100
2023.10.05,13:00:00,1822.055,1824.05,1820.785,1823.27,7633,0,100
2023.10.05,14:00:00,1823.295,1823.48,1820.29,1823.1,9734,0,100
2023.10.05,15:00:00,1823.095,1823.96,1813.04,1815.755,24947,0,100
2023.10.05,16:00:00,1815.775,1821.935,1814.235,1820.785,31696,0,100
2023.10.05,17:00:00,1820.78,1821.185,1816.535,1819.955,26957,0,100
2023.10.05,18:00:00,1819.98,1820.035,1814.47,1815.59,17435,0,100
2023.10.05,19:00:00,1815.63,1818.365,1814.91,1818.175,10579,0,100
2023.10.05,20:00:00,1818.18,1819.545,1815.865,1819.165,8213,0,100
2023.10.05,21:00:00,1819.22,1820.68,1818.675,1820.27,6698,0,100
2023.10.05,22:00:00,1820.25,1820.92,1819.79,1820.41,4862,0,100
2023.10.05,23:00:00,1820.45,1820.71,1819.52,1820.3,1470,0,100
2023.10.06,1:00:00,1820.46,1821.565,1820.46,1821.22,997,0,100
2023.10.06,2:00:00,1821.25,1823.23,1821.225,1821.335,1762,0,100
2023.10.06,3:00:00,1821.32,1822.17,1820.22,1820.74,3177,0,100
2023.10.06,4:00:00,1820.71,1823.38,1819.74,1822.86,3847,0,100
2023.10.06,5:00:00,1822.88,1824.12,1822.435,1823.9,2379,0,100
2023.10.06,6:00:00,1823.92,1824.505,1823.36,1824.065,1998,0,100
2023.10.06,7:00:00,1824.005,1824.62,1822.675,1822.835,2046,0,100
2023.10.06,8:00:00,1822.84,1822.975,1820.79,1821.46,2363,0,100
2023.10.06,9:00:00,1821.44,1821.69,1818.675,1819.475,5477,0,100
2023.10.06,10:00:00,1819.445,1821.65,1818.67,1821.44,9950,0,100
2023.10.06,11:00:00,1821.42,1822.15,1819.34,1821.965,6192,0,100
2023.10.06,12:00:00,1821.975,1822.335,1820.135,1820.55,5170,0,100
2023.10.06,13:00:00,1820.56,1825.16,1820.56,1822.665,7513,0,100
2023.10.06,14:00:00,1822.66,1822.84,1820.71,1821.325,6281,0,100
2023.10.06,15:00:00,1821.32,1821.77,1810.465,1815.145,38610,0,100
2023.10.06,16:00:00,1815.155,1826.09,1813.94,1821.37,45875,0,100
2023.10.06,17:00:00,1821.375,1831.56,1820.98,1823.645,33311,0,100
2023.10.06,18:00:00,1823.64,1834.93,1823.635,1832.645,31309,0,100
2023.10.06,19:00:00,1832.635,1833.51,1829.06,1829.275,14250,0,100
2023.10.06,20:00:00,1829.225,1832.285,1828.855,1831.835,10260,0,100
2023.10.06,21:00:00,1831.88,1834.01,1831.455,1831.945,5797,0,100
2023.10.06,22:00:00,1831.94,1832.035,1829.085,1829.505,6089,0,100
2023.10.06,23:00:00,1829.525,1832.265,1829.005,1832.065,2692,0,100
2023.10.09,1:00:00,1849.955,1855.975,1845.695,1849.885,12346,0,100
