<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.10.02,1:00:00,1847.86,1848.82,1847.255,1847.98,1725,0,100
2023.10.02,1:30:00,1848.025,1848.125,1845.785,1846.575,1497,0,100
2023.10.02,2:00:00,1846.535,1847.24,1846.22,1846.755,877,0,100
2023.10.02,2:30:00,1846.75,1848.57,1846.44,1848.43,1257,0,100
2023.10.02,3:00:00,1848.44,1848.995,1847.57,1847.65,1335,0,100
2023.10.02,3:30:00,1847.745,1847.88,1845.22,1845.535,2000,0,100
2023.10.02,4:00:00,1845.56,1847.46,1845.36,1845.95,1299,0,100
2023.10.02,4:30:00,1845.93,1846.01,1844.03,1844.035,1254,0,100
2023.10.02,5:00:00,1844.015,1845.155,1843.17,1843.295,1318,0,100
2023.10.02,5:30:00,1843.3,1844.69,1842.92,1844.1,1633,0,100
2023.10.02,6:00:00,1844.08,1844.21,1843.735,1844.04,759,0,100
2023.10.02,6:30:00,1844.03,1844.94,1843.41,1843.535,601,0,100
2023.10.02,7:00:00,1843.475,1844.42,1842.88,1843.9,754,0,100
2023.10.02,7:30:00,1843.78,1844.43,1842.43,1842.61,1425,0,100
2023.10.02,8:00:00,1842.605,1843.195,1842.5,1842.67,1115,0,100
2023.10.02,8:30:00,1842.69,1842.855,1839.29,1839.7,2024,0,100
2023.10.02,9:00:00,1839.72,1843.965,1839.52,1843.635,2907,0,100
2023.10.02,9:30:00,1843.64,1846.335,1843.63,1844.685,3240,0,100
2023.10.02,10:00:00,1844.69,1846.11,1842.97,1842.975,5748,0,100
2023.10.02,10:30:00,1843.015,1843.25,1839.495,1839.86,4358,0,100
2023.10.02,11:00:00,1839.85,1842.965,1839.775,1842.46,3405,0,100
2023.10.02,11:30:00,1842.45,1843.25,1839.555,1839.63,2998,0,100
2023.10.02,12:00:00,1839.56,1839.765,1833.74,1834.09,4805,0,100
2023.10.02,12:30:00,1834.11,1835.53,1831.21,1834.35,6922,0,100
2023.10.02,13:00:00,1834.405,1836.38,1833.84,1835.575,3469,0,100
2023.10.02,13:30:00,1835.57,1836.155,1832.845,1833.55,3650,0,100
2023.10.02,14:00:00,1833.545,1835.86,1833.545,1834.845,3854,0,100
